classification,side,trades,total_pnl,avg_pnl,win_rate
extreme fear,sell,1158,8194.563796,7.076479962003455,0.5250431778929189
extreme fear,buy,1168,-3794.6272449999997,-3.2488246960616434,0.0625
extreme greed,sell,3960,1141866.517926,288.350130789394,0.6547979797979798
extreme greed,buy,1661,15027.15765,9.047054575556892,0.31125827814569534
fear,buy,7307,1537586.186314,210.42646589763243,0.33844258929793347
fear,sell,6562,241639.39634,36.82404698872295,0.43005181347150256
greed,sell,5885,524951.754239,89.20165747476636,0.5632965165675446
greed,buy,5407,84680.778397,15.661323912890698,0.2968374329572776
neutral,sell,1736,61922.782262,35.66980545046083,0.5938940092165899
neutral,buy,1020,12733.959718,12.484274233333334,0.3264705882352941
